Unnamed: 0,hr_state,sysbp_state,glucose_state,oxygen_state,diabetes_state,antibiotic_state,vaso_state,vent_state,Action_taken,beh_p_0,beh_p_1,beh_p_2,beh_p_3,beh_p_4,beh_p_5,beh_p_6,beh_p_7
0,0,0,0,0,0,0,0,0,2,0.023868166,0.051787987,0.39874443,0.13779487,0.088654,0.062188406,0.2104518,0.026510442
1,0,0,0,0,0,0,0,1,2,0.010562371,0.04538449,0.49865407,0.16115783,0.04842537,0.05209939,0.15865754,0.02505891
2,0,0,0,0,0,0,1,0,2,0.0057867966,0.057977814,0.32726324,0.22855972,0.019438451,0.07105977,0.21685465,0.07305955
3,0,0,0,0,0,0,1,1,2,0.0029939848,0.048197836,0.4402481,0.24801965,0.011269538,0.05225179,0.14929919,0.047719795
4,0,0,0,0,0,1,0,0,2,0.102269895,0.0425741,0.41686875,0.061287005,0.13054529,0.044287365,0.18615103,0.016016563
5,0,0,0,0,0,1,0,1,2,0.044227313,0.046611235,0.4816208,0.07621428,0.09040782,0.049648073,0.18663567,0.024634853
6,0,0,0,0,0,1,1,0,2,0.032608036,0.070070244,0.3132223,0.121154875,0.058431383,0.076821566,0.2579559,0.069735624
7,0,0,0,0,0,1,1,1,2,0.016368568,0.06750457,0.38962582,0.12634528,0.03814665,0.070047095,0.22291707,0.069044985
8,0,0,1,0,0,0,0,0,3,0.02010489,0.022311121,0.17056957,0.59859145,0.008274457,0.022004018,0.019353954,0.1387905
9,0,0,1,0,0,0,0,1,3,0.0072572,0.016221806,0.13577187,0.7161167,0.004873815,0.014808231,0.008371604,0.09657865
10,0,0,1,0,0,0,1,0,3,0.0017465225,0.01565024,0.07147886,0.65225315,0.0008643069,0.015964888,0.014525609,0.22751644
11,0,0,1,0,0,0,1,1,3,0.00082679343,0.012752401,0.07337443,0.76872003,0.00071606215,0.011322388,0.007248882,0.12503898
12,0,0,1,0,0,1,0,0,0,0.32226852,0.022341307,0.31491455,0.17609133,0.030634832,0.019363401,0.023358008,0.09102803
13,0,0,1,0,0,1,0,1,3,0.13691886,0.025713578,0.28402686,0.34147945,0.024561293,0.021481067,0.01650509,0.14931378
14,0,0,1,0,0,1,1,0,7,0.038726535,0.03176675,0.14727294,0.3537554,0.0070208474,0.028191155,0.029522937,0.36374348
15,0,0,1,0,0,1,1,1,3,0.017328657,0.029056143,0.1361138,0.4525456,0.005768193,0.02341843,0.01757618,0.31819296
