Unnamed: 0,hr_state,sysbp_state,glucose_state,oxygen_state,diabetes_state,antibiotic_state,vaso_state,vent_state,Action_taken,beh_p_0,beh_p_1,beh_p_2,beh_p_3,beh_p_4,beh_p_5,beh_p_6,beh_p_7
0,0,0,0,0,0,0,0,0,2,0.056728654,0.08992726,0.18778147,0.123808995,0.13870646,0.09315231,0.18129246,0.12860247
1,0,0,0,0,0,0,0,1,7,0.081204385,0.07521501,0.18758422,0.14877705,0.11126693,0.08185119,0.092346504,0.22175469
2,0,0,0,0,0,0,1,0,7,0.038191147,0.055801507,0.085280426,0.21474192,0.037809968,0.059650186,0.0702437,0.43828124
3,0,0,0,0,0,0,1,1,7,0.04365719,0.02917118,0.05170656,0.20005336,0.017565565,0.033083867,0.021922382,0.6028399
4,0,0,0,0,0,1,0,0,6,0.12646694,0.059478596,0.10349995,0.040985003,0.21580943,0.06944471,0.32204625,0.062269192
5,0,0,0,0,0,1,0,1,0,0.22162737,0.06011025,0.10824321,0.053499807,0.19480722,0.07238946,0.16087614,0.12844653
6,0,0,0,0,0,1,1,0,7,0.1647894,0.053186957,0.056524117,0.13834961,0.071432605,0.06756751,0.14807287,0.30007696
7,0,0,0,0,0,1,1,1,7,0.21063249,0.031421386,0.032657392,0.13396616,0.03406797,0.04127184,0.04153698,0.47444582
8,0,0,1,0,0,0,0,0,2,0.03427261,0.067497745,0.36524135,0.1456959,0.07811442,0.07355429,0.07238496,0.16323863
9,0,0,1,0,0,0,0,1,2,0.06155512,0.0506452,0.29649577,0.16096273,0.07257013,0.06492749,0.03195909,0.2608845
10,0,0,1,0,0,0,1,0,7,0.026635846,0.025648223,0.08129184,0.2028638,0.0144362515,0.030523328,0.018383116,0.6002175
11,0,0,1,0,0,0,1,1,7,0.04118521,0.013399363,0.044714224,0.1709093,0.008803177,0.018738095,0.00569801,0.69655263
12,0,0,1,0,0,1,0,0,2,0.1721935,0.05943306,0.20960394,0.057396013,0.17405288,0.080486774,0.13523804,0.11159581
13,0,0,1,0,0,1,0,1,0,0.28915122,0.04515434,0.15510042,0.06026533,0.15497835,0.07111819,0.052048277,0.17218387
14,0,0,1,0,0,1,1,0,7,0.22599143,0.027013224,0.04533681,0.13715707,0.030307384,0.042392198,0.030242054,0.46155977
15,0,0,1,0,0,1,1,1,7,0.29273972,0.01428652,0.022274751,0.106222086,0.017793262,0.025600065,0.008366347,0.51271725
16,0,0,2,0,0,0,0,0,2,0.0057840655,0.039434377,0.6346168,0.09852093,0.055345997,0.042548317,0.054385986,0.06936354
17,0,0,2,0,0,0,0,1,2,0.01862391,0.035150878,0.5436666,0.118808925,0.06943689,0.04804795,0.022860486,0.14340436
18,0,0,2,0,0,0,1,0,7,0.0083392,0.020517237,0.15053727,0.21100277,0.012558549,0.023710676,0.015630461,0.5577038
19,0,0,2,0,0,0,1,1,7,0.020784782,0.011291107,0.079948574,0.17038491,0.009028295,0.016539166,0.004023876,0.6879993
20,0,0,2,0,0,1,0,0,2,0.07199684,0.045552064,0.38536543,0.04616054,0.19701871,0.0692349,0.120247185,0.064424336
21,0,0,2,0,0,1,0,1,2,0.18828018,0.03790756,0.27227935,0.05154124,0.21000208,0.07120328,0.043058332,0.12572798
22,0,0,2,0,0,1,1,0,7,0.1524311,0.024790613,0.080947645,0.15824473,0.037632592,0.04376687,0.027377933,0.47480848
23,0,0,2,0,0,1,1,1,7,0.2587889,0.012606709,0.033524543,0.106009714,0.022210896,0.026519785,0.0059473147,0.53439206
24,0,0,3,0,0,0,0,0,2,0.0006717377,0.019822411,0.823554,0.047463294,0.02653633,0.018662594,0.034527957,0.028761674
25,0,0,3,0,0,0,0,1,2,0.0032775993,0.020388264,0.7697679,0.05554402,0.045789734,0.025431983,0.014089227,0.06571138
26,0,0,3,0,0,0,1,0,7,0.001587899,0.018491028,0.30941772,0.17295942,0.01052985,0.017829383,0.016963365,0.45222133
27,0,0,3,0,0,0,1,1,7,0.0063606915,0.011738464,0.19477706,0.14620581,0.010574743,0.015395194,0.0042839395,0.61066407
28,0,0,3,0,0,1,0,0,2,0.01762774,0.030658118,0.5918226,0.026318645,0.1555238,0.044145066,0.09944021,0.034463685
29,0,0,3,0,0,1,0,1,2,0.07621091,0.03144595,0.44553474,0.031491138,0.2345597,0.057827078,0.03761873,0.08531186
30,0,0,3,0,0,1,1,0,7,0.053965904,0.026848039,0.18797287,0.14521553,0.047765363,0.043474518,0.035614382,0.45914346
31,0,0,3,0,0,1,1,1,7,0.14833596,0.015405571,0.0795756,0.10032554,0.03628728,0.0314626,0.007507503,0.5810999
32,0,0,4,0,0,0,0,0,2,7.0765294e-05,0.009305526,0.9196456,0.021937095,0.0102026835,0.0074544055,0.019635178,0.011748762
33,0,0,4,0,0,0,0,1,2,0.00041857496,0.009870846,0.90106034,0.022547003,0.021768937,0.010809603,0.007564664,0.025960013
34,0,0,4,0,0,0,1,0,2,0.0002530119,0.014442668,0.5153449,0.11433318,0.007056841,0.011390381,0.01664311,0.32053578
35,0,0,4,0,0,0,1,1,7,0.0013964346,0.0106358975,0.4037459,0.0982604,0.010176316,0.011898663,0.004411245,0.45947513
36,0,0,4,0,0,1,0,0,2,0.002688863,0.016827857,0.7831971,0.013315377,0.079848655,0.021638183,0.06638646,0.016097523
37,0,0,4,0,0,1,0,1,2,0.017769072,0.021165093,0.65763015,0.016440839,0.1767632,0.035505235,0.027746085,0.04698033
38,0,0,4,0,0,1,1,0,7,0.011343269,0.024169775,0.3713665,0.10090525,0.043507397,0.0331078,0.040693503,0.37490657
39,0,0,4,0,0,1,1,1,7,0.05210318,0.017677175,0.19295046,0.07882734,0.05109505,0.031892937,0.009881922,0.5655719
40,0,0,0,1,0,0,0,0,2,0.056728654,0.08992726,0.18778147,0.123808995,0.13870646,0.09315231,0.18129246,0.12860247
41,0,0,0,1,0,0,0,1,7,0.081204385,0.07521501,0.18758422,0.14877705,0.11126693,0.08185119,0.092346504,0.22175469
42,0,0,0,1,0,0,1,0,7,0.038191147,0.055801507,0.085280426,0.21474192,0.037809968,0.059650186,0.0702437,0.43828124
43,0,0,0,1,0,0,1,1,7,0.04365719,0.02917118,0.05170656,0.20005336,0.017565565,0.033083867,0.021922382,0.6028399
44,0,0,0,1,0,1,0,0,6,0.12646694,0.059478596,0.10349995,0.040985003,0.21580943,0.06944471,0.32204625,0.062269192
45,0,0,0,1,0,1,0,1,0,0.22162737,0.06011025,0.10824321,0.053499807,0.19480722,0.07238946,0.16087614,0.12844653
46,0,0,0,1,0,1,1,0,7,0.1647894,0.053186957,0.056524117,0.13834961,0.071432605,0.06756751,0.14807287,0.30007696
47,0,0,0,1,0,1,1,1,7,0.21063249,0.031421386,0.032657392,0.13396616,0.03406797,0.04127184,0.04153698,0.47444582
48,0,0,1,1,0,0,0,0,2,0.03427261,0.067497745,0.36524135,0.1456959,0.07811442,0.07355429,0.07238496,0.16323863
49,0,0,1,1,0,0,0,1,2,0.06155512,0.0506452,0.29649577,0.16096273,0.07257013,0.06492749,0.03195909,0.2608845
50,0,0,1,1,0,0,1,0,7,0.026635846,0.025648223,0.08129184,0.2028638,0.0144362515,0.030523328,0.018383116,0.6002175
51,0,0,1,1,0,0,1,1,7,0.04118521,0.013399363,0.044714224,0.1709093,0.008803177,0.018738095,0.00569801,0.69655263
52,0,0,1,1,0,1,0,0,2,0.1721935,0.05943306,0.20960394,0.057396013,0.17405288,0.080486774,0.13523804,0.11159581
53,0,0,1,1,0,1,0,1,0,0.28915122,0.04515434,0.15510042,0.06026533,0.15497835,0.07111819,0.052048277,0.17218387
54,0,0,1,1,0,1,1,0,7,0.22599143,0.027013224,0.04533681,0.13715707,0.030307384,0.042392198,0.030242054,0.46155977
55,0,0,1,1,0,1,1,1,7,0.29273972,0.01428652,0.022274751,0.106222086,0.017793262,0.025600065,0.008366347,0.51271725
56,0,0,2,1,0,0,0,0,2,0.0057840655,0.039434377,0.6346168,0.09852093,0.055345997,0.042548317,0.054385986,0.06936354
57,0,0,2,1,0,0,0,1,2,0.01862391,0.035150878,0.5436666,0.118808925,0.06943689,0.04804795,0.022860486,0.14340436
58,0,0,2,1,0,0,1,0,7,0.0083392,0.020517237,0.15053727,0.21100277,0.012558549,0.023710676,0.015630461,0.5577038
59,0,0,2,1,0,0,1,1,7,0.020784782,0.011291107,0.079948574,0.17038491,0.009028295,0.016539166,0.004023876,0.6879993
60,0,0,2,1,0,1,0,0,2,0.07199684,0.045552064,0.38536543,0.04616054,0.19701871,0.0692349,0.120247185,0.064424336
61,0,0,2,1,0,1,0,1,2,0.18828018,0.03790756,0.27227935,0.05154124,0.21000208,0.07120328,0.043058332,0.12572798
62,0,0,2,1,0,1,1,0,7,0.1524311,0.024790613,0.080947645,0.15824473,0.037632592,0.04376687,0.027377933,0.47480848
63,0,0,2,1,0,1,1,1,7,0.2587889,0.012606709,0.033524543,0.106009714,0.022210896,0.026519785,0.0059473147,0.53439206
64,0,0,3,1,0,0,0,0,2,0.0006717377,0.019822411,0.823554,0.047463294,0.02653633,0.018662594,0.034527957,0.028761674
65,0,0,3,1,0,0,0,1,2,0.0032775993,0.020388264,0.7697679,0.05554402,0.045789734,0.025431983,0.014089227,0.06571138
66,0,0,3,1,0,0,1,0,7,0.001587899,0.018491028,0.30941772,0.17295942,0.01052985,0.017829383,0.016963365,0.45222133
67,0,0,3,1,0,0,1,1,7,0.0063606915,0.011738464,0.19477706,0.14620581,0.010574743,0.015395194,0.0042839395,0.61066407
68,0,0,3,1,0,1,0,0,2,0.01762774,0.030658118,0.5918226,0.026318645,0.1555238,0.044145066,0.09944021,0.034463685
69,0,0,3,1,0,1,0,1,2,0.07621091,0.03144595,0.44553474,0.031491138,0.2345597,0.057827078,0.03761873,0.08531186
70,0,0,3,1,0,1,1,0,7,0.053965904,0.026848039,0.18797287,0.14521553,0.047765363,0.043474518,0.035614382,0.45914346
71,0,0,3,1,0,1,1,1,7,0.14833596,0.015405571,0.0795756,0.10032554,0.03628728,0.0314626,0.007507503,0.5810999
72,0,0,4,1,0,0,0,0,2,7.0765294e-05,0.009305526,0.9196456,0.021937095,0.0102026835,0.0074544055,0.019635178,0.011748762
73,0,0,4,1,0,0,0,1,2,0.00041857496,0.009870846,0.90106034,0.022547003,0.021768937,0.010809603,0.007564664,0.025960013
74,0,0,4,1,0,0,1,0,2,0.0002530119,0.014442668,0.5153449,0.11433318,0.007056841,0.011390381,0.01664311,0.32053578
75,0,0,4,1,0,0,1,1,7,0.0013964346,0.0106358975,0.4037459,0.0982604,0.010176316,0.011898663,0.004411245,0.45947513
76,0,0,4,1,0,1,0,0,2,0.002688863,0.016827857,0.7831971,0.013315377,0.079848655,0.021638183,0.06638646,0.016097523
77,0,0,4,1,0,1,0,1,2,0.017769072,0.021165093,0.65763015,0.016440839,0.1767632,0.035505235,0.027746085,0.04698033
78,0,0,4,1,0,1,1,0,7,0.011343269,0.024169775,0.3713665,0.10090525,0.043507397,0.0331078,0.040693503,0.37490657
79,0,0,4,1,0,1,1,1,7,0.05210318,0.017677175,0.19295046,0.07882734,0.05109505,0.031892937,0.009881922,0.5655719
80,0,1,0,0,0,0,0,0,6,0.028371342,0.031269573,0.06303961,0.033083636,0.112273745,0.03212888,0.67416155,0.025671637
81,0,1,0,0,0,0,0,1,6,0.09041785,0.032490395,0.0728641,0.053247467,0.14727655,0.037900846,0.51339746,0.05240532
82,0,1,0,0,0,0,1,0,6,0.04076217,0.039518397,0.04423263,0.14150047,0.041194588,0.03911814,0.46001226,0.19366135
83,0,1,0,0,0,0,1,1,7,0.11256638,0.030807154,0.032981727,0.20160012,0.033149976,0.0333494,0.20839328,0.34715196
84,0,1,0,0,0,1,0,0,6,0.077919655,0.016007714,0.020739399,0.009458793,0.13038379,0.02136847,0.70487416,0.01924805
85,0,1,0,0,0,1,0,1,6,0.24923992,0.017695181,0.02279916,0.014561219,0.16115989,0.025508791,0.4663632,0.042672705
86,0,1,0,0,0,1,1,0,6,0.16233386,0.025192706,0.01862316,0.058819238,0.05573063,0.03329169,0.4902935,0.1557153
87,0,1,0,0,0,1,1,1,0,0.37943897,0.018422639,0.012360946,0.071208626,0.039032523,0.025689717,0.18393919,0.26990741
88,0,1,1,0,0,0,0,0,6,0.052518114,0.045408476,0.22907053,0.07621821,0.08319403,0.045191184,0.38692352,0.08147604
89,0,1,1,0,0,0,0,1,0,0.22716457,0.037858527,0.1865206,0.09981344,0.09754788,0.04687539,0.16065939,0.14356032
90,0,1,1,0,0,0,1,0,7,0.060299706,0.02965355,0.06366084,0.22073156,0.014625901,0.029162174,0.12170367,0.46016252
91,0,1,1,0,0,0,1,1,7,0.1904122,0.015914133,0.029176787,0.18905975,0.010305043,0.018932125,0.031206205,0.5149937
92,0,1,1,0,0,1,0,0,6,0.32739013,0.025141314,0.05700789,0.021948567,0.122420415,0.03711913,0.33476076,0.074211806
93,0,1,1,0,0,1,0,1,0,0.69133157,0.013145485,0.0259193,0.016092734,0.07708699,0.022329086,0.07623933,0.07785551
94,0,1,1,0,0,1,1,0,0,0.43145794,0.015985532,0.016799875,0.070526294,0.019553429,0.024014251,0.08101559,0.3406472
95,0,1,1,0,0,1,1,1,0,0.677562,0.005878475,0.005104498,0.03705479,0.008732096,0.010030913,0.013722124,0.24191503
96,0,1,2,0,0,0,0,0,2,0.01407375,0.034456193,0.43736705,0.060277756,0.05872352,0.030377071,0.3146179,0.050106756
97,0,1,2,0,0,0,0,1,2,0.102797166,0.033411026,0.4138756,0.09090226,0.10074452,0.04116746,0.12242684,0.094675116
98,0,1,2,0,0,0,1,0,7,0.026873207,0.027687887,0.13682197,0.26547098,0.014176497,0.025842095,0.13203447,0.37109292
