Unnamed: 0,hr_state,sysbp_state,glucose_state,oxygen_state,diabetes_state,antibiotic_state,vaso_state,vent_state,Action_taken,beh_p_0,beh_p_1,beh_p_2,beh_p_3,beh_p_4,beh_p_5,beh_p_6,beh_p_7
0,0,0,0,0,0,0,0,0,4,0.096917726,0.063794196,0.16382514,0.09900194,0.23154314,0.062242664,0.22418547,0.058489673
1,0,0,0,0,0,0,0,1,2,0.058192786,0.03823477,0.3341481,0.12801912,0.123410754,0.03796306,0.24095765,0.039073724
2,0,0,0,0,0,0,1,0,3,0.09307006,0.07737393,0.13865973,0.20026952,0.087288074,0.07284954,0.19231927,0.13816993
3,0,0,0,0,0,0,1,1,3,0.056534372,0.045859415,0.25535983,0.2699945,0.041933414,0.045316026,0.19496644,0.09003601
4,0,0,0,0,0,1,0,0,4,0.1343844,0.040203437,0.09042494,0.040574167,0.4056868,0.041560467,0.21587555,0.03129017
5,0,0,0,0,0,1,0,1,6,0.10182587,0.02816253,0.19559325,0.054173905,0.27156857,0.028524924,0.2903123,0.029838622
6,0,0,0,0,0,1,1,0,6,0.1899894,0.062855594,0.09852248,0.1052719,0.1763388,0.06061007,0.19317512,0.11323663
7,0,0,0,0,0,1,1,1,6,0.1417156,0.04220125,0.1919905,0.14333108,0.10378567,0.040857505,0.23694539,0.099173024
8,0,0,1,0,0,0,0,0,2,0.070113696,0.05043059,0.24365108,0.18377453,0.12939684,0.05190391,0.2159035,0.05482586
9,0,0,1,0,0,0,0,1,2,0.033716694,0.02741591,0.4443746,0.21459706,0.048534494,0.028038712,0.17373459,0.029587941
10,0,0,1,0,0,0,1,0,3,0.056545764,0.055248607,0.16342539,0.28436378,0.046056382,0.05319662,0.2082614,0.13290195
11,0,0,1,0,0,0,1,1,3,0.029358786,0.032053616,0.28349924,0.36849603,0.017002081,0.031334303,0.16558023,0.07267572
12,0,0,1,0,0,1,0,0,4,0.18030328,0.041130543,0.1441584,0.08467083,0.28062117,0.045203384,0.1861659,0.037746534
13,0,0,1,0,0,1,0,1,2,0.11441485,0.027749227,0.3237823,0.11533493,0.14449574,0.029301975,0.21430205,0.03061892
14,0,0,1,0,0,1,1,0,0,0.19827636,0.054919153,0.11960759,0.16168267,0.10740439,0.054067012,0.17554983,0.12849303
15,0,0,1,0,0,1,1,1,2,0.12387694,0.03682647,0.24192862,0.22915752,0.050154757,0.035419334,0.18610387,0.09653238
16,0,0,2,0,0,0,0,0,2,0.040803194,0.03208336,0.30667615,0.25912863,0.064861745,0.036313385,0.22173463,0.03839887
17,0,0,2,0,0,0,0,1,2,0.016993416,0.016501747,0.49272078,0.2757294,0.019551378,0.017943842,0.14228824,0.018271213
18,0,0,2,0,0,0,1,0,3,0.02988264,0.03402465,0.18358852,0.34269917,0.023439031,0.03448151,0.2503425,0.10154203
19,0,0,2,0,0,0,1,1,3,0.013929831,0.019812131,0.2959973,0.42948148,0.0072474717,0.01960646,0.16287826,0.051047023
20,0,0,2,0,0,1,0,0,2,0.17333809,0.03299904,0.21160884,0.14389694,0.17772348,0.040395617,0.18635361,0.033684418
