Unnamed: 0,hr_state,sysbp_state,glucose_state,oxygen_state,diabetes_state,antibiotic_state,vaso_state,vent_state,Action_taken,beh_p_0,beh_p_1,beh_p_2,beh_p_3,beh_p_4,beh_p_5,beh_p_6,beh_p_7
0,0,0,0,0,0,0,0,0,2,0.03295652,0.06195897,0.23452865,0.16167426,0.18064372,0.061290294,0.19577551,0.07117208
1,0,0,0,0,0,0,0,1,2,0.012253634,0.029818468,0.4474739,0.1423515,0.06572514,0.028042275,0.21151836,0.06281678
2,0,0,0,0,0,0,1,0,3,0.031745974,0.08517194,0.20792122,0.30923787,0.023546068,0.08579927,0.1657014,0.090876214
3,0,0,0,0,0,0,1,1,2,0.0108153,0.035344508,0.38552594,0.27283183,0.007963306,0.03453308,0.17331657,0.07966943
4,0,0,0,0,0,1,0,0,6,0.07520201,0.062258903,0.15392493,0.106303,0.2222211,0.065060645,0.2640362,0.050993234
5,0,0,0,0,0,1,0,1,6,0.030693157,0.03090717,0.2982936,0.09015338,0.114693865,0.030316368,0.34094343,0.06399911
6,0,0,0,0,0,1,1,0,6,0.06885248,0.0952436,0.16289684,0.20902094,0.031275388,0.09624872,0.25760385,0.07885819
7,0,0,0,0,0,1,1,1,6,0.02617294,0.04061563,0.30139318,0.17539255,0.014026056,0.039188843,0.31030563,0.09290518
8,0,0,1,0,0,0,0,0,3,0.01427261,0.03064557,0.20047009,0.51520044,0.0533243,0.031188965,0.076136425,0.07876167
9,0,0,1,0,0,0,0,1,3,0.0042220103,0.01623925,0.3498299,0.44947517,0.021390114,0.015918192,0.08477847,0.058146823
10,0,0,1,0,0,0,1,0,3,0.0076781684,0.024468962,0.13421708,0.68578184,0.006577561,0.024920529,0.053510472,0.06284541
11,0,0,1,0,0,0,1,1,3,0.002262551,0.012475556,0.24208353,0.62019074,0.0027261258,0.012377455,0.0621956,0.045688424
12,0,0,1,0,0,1,0,0,3,0.12916327,0.03891921,0.1106946,0.43729758,0.06312463,0.039865203,0.07115703,0.10977854
